,Video Id,Title,Description,Category
0,iQeeqEeAK08,How I Became a TRAVEL VLOGGER | Make Money Even if You&#39;re Just Starting Out as a YouTuber!,"In this video, I share with you my tips on how I became a travel blogger and how you can make money even if you're just starting out as a YouTuber! I never ...",travel
1,i9E_Blai8vk,Welcome to Bali | Travel Vlog | Priscilla Lee,"DISCLAIMER* Please do not ride elephants when visiting any country. At the time I didn't know (yes, I was dumb) so it is shown in the video, but I do not support ...",travel
2,gtm2O_6_mUM,SIKKIM TRAVEL VLOG | Bagdogra to Gangtok - Vlog #1 | North East India | Kritika Goel,"Hey everyone! I recently went on a trip to Sikkim with my friend Shumnima (who is from Sikkim). During our trip to Sikkim, we explored Gangtok and the western ...",travel
3,v6eh9zOqDnQ,Top 10 Travel Vloggers,"For this list, we're taking a look at YouTubers who travel the globe, making us all want to get off the couch and satisfy our wanderlust. 10: Sailing La Vagabonde ...",travel
4,BbegGNcvMb0,Travelling to Italy after Lockdown | Dhruv Rathee Vlog,Welcome to my First Vlog. Here I share with you my journey to Italy after the lockdown has ended in Europe and countries are promoting travel by offering many ...,travel
5,EthqIhPtd2I,"TRAVEL VLOG: SANTORINI, GREECE",Outfits: 1- Dress- Finders Keepers Sunglasses- Princess Polly 2- Top- Forever 21 Swimsuit- Fella Swim Shorts- Agolde Scarf- Mango 3- Dress- Reformation ...,travel
6,A7gb9JL7grs,Travelling to Country have Most Saxiest Girl in World||Belarus🇧🇾,"You can support me on Patreon, where I will upload more exclusive content. You can watch my Unseen Videos and I will share valuable secrets, tips and ...",travel
7,4KJaaRqHcls,German Trying Indian Food | Hamburg Travel Vlog | Indian and German Friends Trip | Friends Reunion,German Trying Indian Food | Hamburg Travel Vlog | Indian and German Friends Trip | Friends Reunion Swagat hai aapka flying abroad mein ...,travel
8,cTxPiPyNrgU,"Kerala&#39;s best beaches in Varkala! Cliff cafes, sea food and things to do w/ Tanya Khanijow","Kerala is one of the most beautiful states in India for traveling and a road trip. In this series we are going to cover 5 main destinations by road - Wayanad, ...",travel
9,rUycc1YD41Q,traveling to greece: mykonos and santorini vlog,macbby11@yahoo.com.,travel
10,g-AN0sycZGg,Why Indians Go to Pattaya ? Thailand Travel vlog by Indian,Thailand - Pattaya Travel Vlog in Hindi by RK Pattaya Walking Street | Massage Parlours | Central Mall | Pattaya Beach | Seven Eleven | Nightlife BOOK CHEAP ...,travel
11,8Yo5L58mn9w,RoadTrip - Chandigarh To Manali | RoadTrip to Manali | Himachal Travel Vlog,Roadtrip #Mahindra1BHK #Himachal Facebook Page: https://www.facebook.com/rovingcouple/​ Instagram Page: https://www.instagram.com/roving_couple​ ...,travel
12,UBvJKs9eW3I,FINLAND VACATION: TRAVEL VLOG,"Had the most amazing experience in Finland for my first time. Saw the Northern Lights, visited a reindeer farm, went dog sledding, slept in an igloo and more!",travel
